id_user,Cantidad_items,Dinero_gastado,recommend
1NFR33,123,1943.8999999999999,No hay reseñas.
1R1M1,44,323.74,33.33 %
1UK33Y,23,359.78,No hay reseñas.
1_Taipan,21,361.83,No hay reseñas.
1a1u14,63,365.74,100.00 %
1dog636,86,1042.23,No hay reseñas.
1epicninja,77,994.43,100.00 %
1iam1iam1iam,56,804.6899999999999,100.00 %
1jamesn4,73,930.4,100.00 %
1qaz2wwx010,20,44.97,No hay reseñas.
1silentsniper1,261,3637.87,No hay reseñas.
1snap,158,1978.52,85.71 %
1stBLUE-COW,41,342.77,No hay reseñas.
1stpionpaul,143,2066.69,100.00 %
1sttperson,35,379.77,No hay reseñas.
1v1meguy,214,3240.77,No hay reseñas.
1v1meinclubpenguinscrub,22,334.81,No hay reseñas.
1v1mim8,61,658.55,No hay reseñas.
2000jtc,49,688.65,No hay reseñas.
2001911,2,9.99,No hay reseñas.
200220006,111,1835.01,100.00 %
20041213,21,19.98,100.00 %
200719917302,41,799.61,No hay reseñas.
200px-spy-taunt-laugh,15,69.95,No hay reseñas.
2011368123,227,3115.0099999999998,No hay reseñas.
20115011,4,9.99,No hay reseñas.
205723552,9,29.98,No hay reseñas.
2080308,72,722.47,100.00 %
2092000666,23,165.85999999999999,No hay reseñas.
210519992016,70,593.5899999999999,20.00 %
21072013,17,39.98,No hay reseñas.
211011374,28,529.77,No hay reseñas.
21129393,9,34.97,No hay reseñas.
2114521846341684,10,149.91,No hay reseñas.
2121312,15,34.97,No hay reseñas.
2125125126,5,34.97,No hay reseñas.
212blair212,12,104.92,No hay reseñas.
213123123132,131,460.66,No hay reseñas.
21321112399,13,189.91,No hay reseñas.
2139093311,6,9.99,No hay reseñas.
215251,29,312.83,No hay reseñas.
216712138,76,883.54,No hay reseñas.
218939137821738213127983,78,602.6,No hay reseñas.
219121912191,6,44.97,No hay reseñas.
21lord21drag,5,59.97,No hay reseñas.
22109203,78,672.1,No hay reseñas.
222081994,21,310.87,No hay reseñas.
2222224444555985,28,204.9,No hay reseñas.
2222455,108,1445.8799999999999,No hay reseñas.
2233dog15,15,265.89,No hay reseñas.
22491987,38,307.83,No hay reseñas.
22502250,64,877.56,100.00 %
225544,64,774.5,50.00 %
225555,14,195.89,No hay reseñas.
226rep,8,159.94,No hay reseñas.
2271531450,18,89.9,No hay reseñas.
2293371488,33,225.29,No hay reseñas.
23012003,14,94.94,100.00 %
231091,160,2650.58,100.00 %
2311985201258745633313,26,371.82,No hay reseñas.
231321455,50,274.82,100.00 %
23142433253545,99,1249.24,No hay reseñas.
23184798,25,97.91,100.00 %
2323534545,124,1299.06,100.00 %
233433,5,22.979999999999997,No hay reseñas.
2342526,44,624.65,No hay reseñas.
23434454365463446754546576e45646,79,756.4499999999999,100.00 %
2345XXXXX,44,313.74,No hay reseñas.
234671,24,149.88,No hay reseñas.
235269,81,1125.74,100.00 %
235324234732,25,255.76,No hay reseñas.
2364786499,40,609.52,No hay reseñas.
23745736,59,418.79,100.00 %
2378695,2,34.98,No hay reseñas.
2390746539217,14,360.86,100.00 %
23974656456,70,714.55,100.00 %
2398,19,226.62,No hay reseñas.
23Batman05,123,1337.1399999999999,100.00 %
23jesus23,56,619.64,No hay reseñas.
24045681579016271,11,29.97,No hay reseñas.
24101738,29,59.99,No hay reseñas.
243567890,5,44.97,No hay reseñas.
2435689,69,651.51,No hay reseñas.
2435764824567835,24,149.9,No hay reseñas.
24453,58,1105.5,50.00 %
2448531,73,387.62,No hay reseñas.
24532453,115,1176.28,No hay reseñas.
24596,106,819.81,No hay reseñas.
24681256447,9,67.94999999999999,No hay reseñas.
246823,21,265.85,No hay reseñas.
247211,128,1469.75,100.00 %
2479742,92,1355.33,100.00 %
248392584,7,30.96,No hay reseñas.
248482,243,2826.39,No hay reseñas.
24862345243,42,696.64,No hay reseñas.
24902,36,427.78,No hay reseñas.
249758,155,2526.62,No hay reseñas.
24BallerJK,7,39.97,No hay reseñas.
24CmRuler,64,858.5,No hay reseñas.
25050,73,905.35,No hay reseñas.
25061841,12,170.89,No hay reseñas.
25230405,81,989.39,No hay reseñas.
25231341243,29,218.84,No hay reseñas.
2539428377924,85,822.49,No hay reseñas.
256565,14,183.89,No hay reseñas.
2571,615,8266.07,100.00 %
259987556434546,100,1118.68,No hay reseñas.
25_Years_Since_Freddie,26,309.81,83.33 %
26070,31,475.72999999999996,No hay reseñas.
2608739,3,24.98,100.00 %
26292919,61,590.61,No hay reseñas.
2647891,6,39.97,100.00 %
2688789326887893,58,245.88,No hay reseñas.
269485,262,3811.54,No hay reseñas.
27073108,79,1223.3899999999999,50.00 %
27601MCM,50,304.78,100.00 %
27649735,2,0.0,No hay reseñas.
2768820078,79,1550.26,No hay reseñas.
279519365,94,1103.28,No hay reseñas.
27dnguyen,25,226.77,No hay reseñas.
28019769,108,2258.69,No hay reseñas.
2826,6,110.94,No hay reseñas.
2891723967123,129,2023.6299999999999,80.00 %
28yelkco,29,219.84,No hay reseñas.
29017637452801,72,496.54,100.00 %
291129112911291129112911,54,489.65,100.00 %
29123,15,119.93,80.00 %
2933725,1,0.0,No hay reseñas.
2987654235,7,15.98,No hay reseñas.
29998000,35,264.83,No hay reseñas.
2Chill,108,1194.06,100.00 %
2Degrees,64,1138.43,100.00 %
2EzRogueDH,9,99.96000000000001,100.00 %
2JZEEEEBABY,46,877.54,100.00 %
2Lethal,84,1282.07,100.00 %
2Ryo2Know,26,217.85,No hay reseñas.
2Ta4,313,3401.22,66.67 %
2ZESTY4ME,65,420.75,No hay reseñas.
2amigosupremos753,1,0.0,No hay reseñas.
2cq,774,9230.619999999999,No hay reseñas.
2d4nk4m3,138,697.36,50.00 %
2edgy4youboi,75,790.48,100.00 %
2ez2xl,68,726.49,100.00 %
2ez4medick,23,382.74,No hay reseñas.
2fast4u271,33,256.76,No hay reseñas.
2g00d4u,12,100.92,No hay reseñas.
2greasy,29,452.51,No hay reseñas.
2ik4tf,19,165.86,100.00 %
2kewl4you,3,19.99,No hay reseñas.
2lstgun,24,237.84,100.00 %
2matoe,20,150.87,No hay reseñas.
2muchred,130,1661.84,No hay reseñas.
2nerdssemvida,76,187.79,No hay reseñas.
2pacisaliveincuba,257,3525.38,100.00 %
2ptwisted,17,131.94,No hay reseñas.
2red12,137,1778.95,100.00 %
2sBs,177,2482.37,100.00 %
2sd31,11,170.9,100.00 %
2seggy4um8havalook,9,54.97,No hay reseñas.
2she,47,488.57,No hay reseñas.
2sneaky5u,260,3141.85,100.00 %
2spookis,164,1617.42,100.00 %
2spooky,278,3901.96,80.00 %
2unimaginative4u,17,40.96,No hay reseñas.
2v1meyoucheekyscrub,29,559.75,100.00 %
2xDelorean,48,439.7,100.00 %
30035115,85,1353.27,No hay reseñas.
300799,9,24.98,No hay reseñas.
30102002,29,167.32999999999998,100.00 %
3021Daniel,85,1371.23,100.00 %
3038070,5,34.980000000000004,No hay reseñas.
3046123,57,848.6,100.00 %
305010,60,882.52,No hay reseñas.
30699,25,214.91,No hay reseñas.
30XxPikachuxX03,2,0.0,No hay reseñas.
313134,329,4559.8,No hay reseñas.
314155156915923,31,248.76,No hay reseñas.
31456576727471577757175717,16,39.97,No hay reseñas.
31575,65,184.8,No hay reseñas.
317733235,49,345.73,0.00 %
317984739321,44,472.71,100.00 %
317jim,10,14.99,No hay reseñas.
318941651,37,270.81,No hay reseñas.
3197,37,467.66999999999996,100.00 %
320RustPro,8,29.97,100.00 %
3214213216,53,224.19,No hay reseñas.
321541,20,253.81,No hay reseñas.
3218998529,1,19.98,No hay reseñas.
3265899423,47,437.7,No hay reseñas.
326759263846544,249,1869.43,50.00 %
329838102,16,49.96,0.00 %
32bitmaximus,76,1115.29,100.00 %
33275,6,69.95,No hay reseñas.
333333259,11,129.93,No hay reseñas.
33334scat,39,432.76,100.00 %
333666333111,17,245.86,No hay reseñas.
333hab,205,2440.2799999999997,100.00 %
33442,5,14.99,No hay reseñas.
334756875,95,610.49,50.00 %
34234252sd,10,49.97,No hay reseñas.
3423523425433425,101,1553.09,100.00 %
343221221,43,586.5,100.00 %
34324132,36,596.68,No hay reseñas.
343574890,24,226.87,No hay reseñas.
34383536,13,117.42,No hay reseñas.
343rox,15,190.88,No hay reseñas.
3456457568,76,715.59,No hay reseñas.
34565754,20,384.84,No hay reseñas.
3456669133723,8,49.96,No hay reseñas.
345675,154,2276.67,100.00 %
34568535890075433578,34,527.76,No hay reseñas.
34573671264yi,80,639.56,100.00 %
345827357205098,27,199.87,No hay reseñas.
3496148694969,117,1664.3799999999999,No hay reseñas.
350176,29,240.85,No hay reseñas.
350241,164,2261.0,No hay reseñas.
352039981386723,26,384.77,No hay reseñas.
3523436346,83,1243.23,100.00 %
35353534,24,281.82,100.00 %
35475,141,2223.22,100.00 %
3548548564856498484894,128,1821.87,75.00 %
3565Jason,16,179.91,100.00 %
36033,28,171.84,No hay reseñas.
360NoScopeMLGBLAZEGirlGamer69,7,84.94,No hay reseñas.
360j1mmy,264,3989.48,100.00 %
3635,85,374.71,No hay reseñas.
363997099,5,59.97,No hay reseñas.
36864,18,333.78,No hay reseñas.
369231461278416,88,819.55,No hay reseñas.
36_T,225,3382.5699999999997,88.89 %
373848099,76,798.53,No hay reseñas.
37755753,119,1796.91,80.00 %
378366354,57,621.67,No hay reseñas.
37891266723,118,1406.15,No hay reseñas.
380012,13,213.87,No hay reseñas.
381644,68,962.29,100.00 %
38174962156174513,19,364.88,No hay reseñas.
38189307,18,178.83,No hay reseñas.
387561,12,237.66,No hay reseñas.
38927497,643,8274.18,100.00 %
38y685ie4e89r78,9,64.96,No hay reseñas.
391204566,74,1316.41,No hay reseñas.
3Ldota,4,29.98,100.00 %
3dster,100,1148.19,No hay reseñas.
3eBpA,115,1049.23,No hay reseñas.
3lAckCAt,95,866.36,100.00 %
3mike,94,1261.12,No hay reseñas.
3mperi0,32,444.52,No hay reseñas.
3nv3y,116,1875.6299999999999,No hay reseñas.
3ring,21,146.85,No hay reseñas.
3stantedja,5,14.99,No hay reseñas.
3teGZ_Rorschach,57,1123.48,100.00 %
3th3,61,225.85,88.89 %
3vild33d,33,490.7,No hay reseñas.
3xU,117,1463.19,100.00 %
3xc4l18urblue,69,802.4,No hay reseñas.
3xotic26,139,1954.73,100.00 %
400primetopkeks,16,151.87,No hay reseñas.
4017209381,7,19.99,No hay reseñas.
402553929,43,507.73,100.00 %
4043RROR,62,889.47,100.00 %
404PlayerNotFound,67,983.38,No hay reseñas.
404ok4561687987879847,13,109.94,No hay reseñas.
4131723314123,21,148.82,No hay reseñas.
414291,26,287.79999999999995,No hay reseñas.
41781029,45,367.67,No hay reseñas.
4200769711,21,139.89,100.00 %
4201,26,483.75,No hay reseñas.
4202346,62,568.59,No hay reseñas.
420BlazeItMLG,17,24.98,100.00 %
420Blz,155,2353.49,No hay reseñas.
420BlzeIT,31,224.83,No hay reseñas.
420DankMasterKush420,86,861.9,100.00 %
420NigelGaming420,39,324.77,100.00 %
420_Blaze_It_Fgt,15,0.0,100.00 %
420believe,40,434.68,No hay reseñas.
420blazedondaweedguyz,23,239.85,No hay reseñas.
420blazefag00t,3,94.97,No hay reseñas.
420blazeitbitches,17,255.81,No hay reseñas.
420blaznnoscope,27,116.9,No hay reseñas.
420box,109,1494.03,No hay reseñas.
420cheekycunt,13,89.92999999999999,No hay reseñas.
420dankmemer,50,471.63,No hay reseñas.
420fedora,79,1029.26,100.00 %
420gandalfyoda,28,504.73,No hay reseñas.
420haybale,15,87.94,No hay reseñas.
420lol420,25,74.94999999999999,No hay reseñas.
420slender,27,322.78999999999996,No hay reseñas.
4234213234124,15,59.95,No hay reseñas.
42456,8,45.94,100.00 %
42654264,13,207.94,100.00 %
