developer,year,Cantidad,% free to play
5d games gmbh,2017.0,1,0.00 %
5th cell media,2012.0,1,0.00 %
5th cell media,2013.0,1,0.00 %
5th planet games,2017.0,1,100.00 %
651 games,2017.0,1,0.00 %
68k studios,2017.0,1,0.00 %
6l6 interactive,2016.0,1,0.00 %
7 generation games,2016.0,1,0.00 %
7 raven studios,2016.0,3,0.00 %
7 raven studios,2017.0,1,0.00 %
7 road,2016.0,1,100.00 %
7 soft pillows,2015.0,2,0.00 %
71games,2017.0,1,0.00 %
773,2012.0,1,0.00 %
773,2014.0,1,0.00 %
773,2016.0,1,0.00 %
777 studios,2013.0,8,12.50 %
777 studios,2014.0,1,0.00 %
777 studios,2015.0,2,0.00 %
"7config,baddoge",2016.0,1,0.00 %
7dots,2017.0,2,0.00 %
7k games,2016.0,1,0.00 %
7tpgames,2016.0,1,0.00 %
8-bit studio,2017.0,4,25.00 %
800 north,2017.0,1,0.00 %
800 north and digital ranch,2011.0,1,0.00 %
800 north and digital ranch,2014.0,1,0.00 %
800 north and digital ranch,2015.0,1,0.00 %
8888888 labs,2013.0,1,0.00 %
88mm,2014.0,2,0.00 %
89am studio,2016.0,1,0.00 %
89am studio,2017.0,1,0.00 %
8d studio,2015.0,1,0.00 %
8floor,2015.0,2,0.00 %
8th floor games,2013.0,1,0.00 %
9 eyes game studio,2017.0,1,0.00 %
971 games,2016.0,1,0.00 %
9heads game studios,2012.0,2,0.00 %
9heads game studios,2014.0,1,0.00 %
@vincentltower,2017.0,1,0.00 %
@yearofthebob,2017.0,1,100.00 %
@lukasinspace,2017.0,2,0.00 %
@unepic_fran,2014.0,1,0.00 %
@unepic_fran,2016.0,3,0.00 %
@unepic_fran,2017.0,2,0.00 %
"a &amp; b game studios, llc",2016.0,1,0.00 %
a crowd of monsters,2015.0,4,0.00 %
"a crowd of monsters,sonotrigger",2015.0,1,0.00 %
a jolly corpse,2014.0,1,0.00 %
a maniacal game lp,2017.0,1,0.00 %
"a sharp, llc",2015.0,1,0.00 %
a stranger gravity,2015.0,2,0.00 %
a sweet studio,2017.0,1,0.00 %
a and f studios,2017.0,1,0.00 %
"a-flight,caipirinha games",2017.0,1,0.00 %
"a. fruit,alexey bokulev,sergei klimov,charlie oscar lima tango interactive entertainment",2016.0,1,0.00 %
a. hagen,2016.0,1,100.00 %
a.j starkey enterprises,2015.0,2,0.00 %
a.lepunov,2017.0,2,0.00 %
a.y.std,2016.0,1,0.00 %
a2a simulations,2015.0,5,0.00 %
aa games,2017.0,1,0.00 %
aaagames s.r.o.,2016.0,1,0.00 %
aad productions,2014.0,1,0.00 %
ab soft,2017.0,1,0.00 %
acd systems international inc.,2012.0,1,0.00 %
"ace ed-venture studio,artoncode™",2017.0,1,0.00 %
ace maddox,2015.0,1,0.00 %
ace maddox,2017.0,1,0.00 %
ace team,2009.0,1,0.00 %
ace team,2011.0,1,0.00 %
ace team,2013.0,1,0.00 %
ace team,2014.0,2,0.00 %
ace team,2016.0,1,0.00 %
ace team,2017.0,2,0.00 %
acquire corp.,2012.0,1,0.00 %
acquire corp.,2015.0,3,0.00 %
acquire corp.,2016.0,4,0.00 %
"acsourse,gamieon, inc.",2016.0,1,100.00 %
aecrnia,2017.0,2,0.00 %
ael entertainment,2016.0,1,0.00 %
afstudio,2017.0,1,0.00 %
ag media,2016.0,1,0.00 %
agc,2015.0,1,0.00 %
ago games,2015.0,1,0.00 %
agp::studios,2016.0,1,0.00 %
aha entertainment,2016.0,1,100.00 %
aheartfulofgames,2016.0,2,0.00 %
aigrind,2017.0,3,66.67 %
aihasto,2017.0,1,0.00 %
aivik llc,2016.0,2,0.00 %
ak games,2015.0,2,0.00 %
ak games,2016.0,1,0.00 %
al games,2017.0,1,0.00 %
al-game,2016.0,1,0.00 %
al-game,2017.0,1,0.00 %
aleksander chiepaikin,2017.0,5,0.00 %
alice in dissonance,2013.0,1,0.00 %
alice in dissonance,2015.0,3,0.00 %
alice in dissonance,2016.0,1,0.00 %
allm,2017.0,4,25.00 %
allplayer group ltd.,2014.0,1,0.00 %
altar interactive,2005.0,1,0.00 %
"ama,mando productions",2015.0,1,0.00 %
amg games,2017.0,2,0.00 %
amidea games,2016.0,1,0.00 %
amplitude studios,2012.0,1,0.00 %
amplitude studios,2014.0,3,0.00 %
amplitude studios,2015.0,9,22.22 %
amplitude studios,2016.0,2,0.00 %
amplitude studios,2017.0,8,87.50 %
ams game development association,2016.0,1,100.00 %
"an productions,poxpower",2017.0,1,100.00 %
andore,2017.0,1,0.00 %
anim•ace,2017.0,1,0.00 %
anpa.us,2015.0,3,0.00 %
anpa.us,2016.0,6,0.00 %
anv team,2017.0,2,0.00 %
aos game,2015.0,1,0.00 %
apas games,2015.0,1,0.00 %
apgal,2017.0,1,0.00 %
appidemic studios,2015.0,1,0.00 %
applemint,2017.0,1,0.00 %
aquria,2017.0,1,0.00 %
arb studios,2010.0,1,0.00 %
"arc system works co., ltd.,toybox inc.",2017.0,4,50.00 %
area 35,2017.0,1,0.00 %
ares inc.,2017.0,1,0.00 %
argames,2017.0,1,0.00 %
ars,2017.0,1,0.00 %
artdink,2008.0,2,0.00 %
artdink,2015.0,6,16.67 %
artdink,2016.0,1,0.00 %
artdink,2017.0,1,0.00 %
artifacts,2016.0,1,0.00 %
artifacts,2017.0,1,0.00 %
ardigitc,2017.0,1,0.00 %
asc games,2015.0,1,0.00 %
asgames,2016.0,1,0.00 %
ask homework,2012.0,1,0.00 %
astro port,2011.0,2,0.00 %
astro port,2014.0,1,0.00 %
astro port,2015.0,3,0.00 %
astro port,2016.0,2,0.00 %
astro port,2017.0,1,0.00 %
at the gate team,2017.0,1,0.00 %
attack mountain,2016.0,2,0.00 %
attack mountain,2017.0,2,0.00 %
av media lab,2015.0,1,0.00 %
ave,2016.0,1,0.00 %
avgames,2016.0,1,0.00 %
avolight,2017.0,1,0.00 %
avp,2017.0,1,0.00 %
awe games,2006.0,1,0.00 %
aye technology,2017.0,2,0.00 %
az-art development studio,2015.0,1,0.00 %
azamatika,2016.0,1,0.00 %
aardman animations,2014.0,1,0.00 %
aaron arcand,2015.0,1,0.00 %
aaron oldenburg,2015.0,1,0.00 %
aartform,2013.0,1,0.00 %
aartform games,2014.0,1,0.00 %
aatlantis code,2016.0,1,0.00 %
abbey games,2013.0,1,0.00 %
abbey games,2015.0,1,0.00 %
abbey games,2016.0,1,0.00 %
abbey games,2017.0,1,0.00 %
abdulla hassan al-farsi,2016.0,1,0.00 %
abigail corfman,2017.0,1,0.00 %
abnormal software,2015.0,1,0.00 %
above and beyond technologies,2017.0,1,0.00 %
abraham carreola,2015.0,1,0.00 %
abrakam sa,2017.0,2,50.00 %
abrupt games,2015.0,1,0.00 %
absqual studio,2016.0,1,0.00 %
absent moon studios,2017.0,1,0.00 %
absolut soft llc,2016.0,1,0.00 %
absolutist ltd,2009.0,1,0.00 %
absolutist ltd,2015.0,2,0.00 %
absolutist ltd,2016.0,3,33.33 %
absolutist ltd,2017.0,1,100.00 %
absorb reality,2015.0,1,0.00 %
absorb reality,2017.0,2,0.00 %
absorbed studios,2017.0,1,100.00 %
absortalent games,2017.0,1,0.00 %
abstract tree studio,2016.0,1,0.00 %
abstraction games,2014.0,1,0.00 %
"abstraction games,the bitmap brothers",2013.0,1,0.00 %
"abstraction games,wayforward",2016.0,1,0.00 %
abstractive works,2016.0,1,0.00 %
abyss studios,2015.0,1,0.00 %
"accela,inc.",2017.0,1,0.00 %
"acceleroto, inc.",2015.0,1,0.00 %
access games,2015.0,16,0.00 %
access software,1989.0,1,0.00 %
access software,1991.0,1,0.00 %
access software,1994.0,1,0.00 %
access software,1996.0,1,0.00 %
access software,1998.0,1,0.00 %
accidental queens,2017.0,4,0.00 %
acclaim cheltenham,1998.0,1,0.00 %
acclaim studios teeside,1999.0,1,0.00 %
accolade,1993.0,1,0.00 %
"accolade, inc",1996.0,2,0.00 %
"accolade, inc",1999.0,2,0.00 %
acerio games,2016.0,1,0.00 %
achebit,2015.0,1,0.00 %
achisoft,2017.0,1,0.00 %
achpile,2016.0,1,0.00 %
achpile,2017.0,1,0.00 %
acid cat,2016.0,1,0.00 %
acid nerve,2015.0,1,0.00 %
ackk studios,2013.0,1,0.00 %
ackmi,2016.0,1,0.00 %
"acme nerd games, llc",2017.0,1,0.00 %
acnevulgaris,2016.0,1,0.00 %
"acoustica, inc.",2017.0,1,0.00 %
acquire,2012.0,7,0.00 %
acquire,2016.0,1,0.00 %
acquire corp.,2015.0,8,0.00 %
"acquire,zerodiv",2016.0,1,0.00 %
"acram digital,mobo studio",2017.0,13,15.38 %
"act 3 games, llc",2017.0,2,50.00 %
actalogic,2017.0,1,0.00 %
actalogic,2012.0,1,0.00 %
actalogic,2013.0,2,0.00 %
actalogic,2014.0,1,0.00 %
"action button entertainment, llc",2016.0,1,0.00 %
activision,1993.0,1,0.00 %
activision,1996.0,1,0.00 %
activision,1997.0,1,0.00 %
activision,2000.0,1,0.00 %
actoz soft,2017.0,1,100.00 %
actual tools,2016.0,1,0.00 %
acute games,2017.0,1,100.00 %
acuze interactives,2017.0,3,0.00 %
"acuze interactives,winterbyte",2017.0,1,0.00 %
ad aspera,2017.0,1,0.00 %
adage games,2017.0,1,0.00 %
adam delease,2015.0,1,0.00 %
adam delease,2016.0,1,0.00 %
adam delease,2017.0,2,0.00 %
adam foster,2013.0,1,100.00 %
adam hebert,2017.0,1,0.00 %
adam john adkins,2017.0,1,0.00 %
"adam mclellan,ricardo chirino",2016.0,2,0.00 %
adam mowery,2015.0,1,0.00 %
"adam saltsman,robin arnott",2012.0,1,0.00 %
adam spragg,2014.0,1,0.00 %
adam tarnowski,2015.0,1,0.00 %
adam tarnowski,2017.0,1,0.00 %
adam thompson,2017.0,1,0.00 %
adam wells,2016.0,1,0.00 %
"adept studios gd,alawar entertainment",2016.0,1,0.00 %
adham jaber,2016.0,1,0.00 %
adhoc games,2015.0,3,0.00 %
adhoc games,2016.0,1,100.00 %
aditya yadav,2017.0,1,0.00 %
"adriaan de jongh,sylvain tegroeg",2017.0,1,0.00 %
adrovgames,2016.0,2,0.00 %
aduge studio,2016.0,1,0.00 %
advent rpg,2016.0,1,0.00 %
"adventure mob,corbomite games",2016.0,2,0.00 %
"adventure productions,10th art studio",2015.0,1,0.00 %
adventurepro games llc,2014.0,1,0.00 %
adventurepro games llc,2017.0,1,0.00 %
adventurous productions,2015.0,1,0.00 %
aegon games,2015.0,1,0.00 %
aegon games ltd,2016.0,1,0.00 %
aegon games ltd,2017.0,1,0.00 %
aeon dream studios,2016.0,8,12.50 %
aeon dream studios,2017.0,2,0.00 %
aeonic entertainment,2016.0,2,0.00 %
aerilon studios,2017.0,1,0.00 %
aeroplane heaven,2015.0,1,0.00 %
aeroplane heaven,2016.0,1,0.00 %
aerosoft gmbh,2012.0,1,0.00 %
aerosoft gmbh,2013.0,1,0.00 %
aerosoft gmbh,2015.0,7,0.00 %
aerosoft gmbh,2016.0,8,0.00 %
aerosoft gmbh,2017.0,4,0.00 %
"aerosoft gmbh,stairport sceneries",2017.0,1,0.00 %
"aerosoft,caipirinha games",2017.0,1,0.00 %
aesir interactive,2016.0,1,0.00 %
aesir interactive,2017.0,1,0.00 %
aetheric games,2017.0,1,0.00 %
afrodieter,2017.0,1,0.00 %
afrobeast games,2016.0,1,0.00 %
after death team,2017.0,1,0.00 %
afterlife games,2016.0,2,0.00 %
afterthought llc,2015.0,1,0.00 %
afterthought studios,2016.0,1,0.00 %
afterthought studios,2017.0,6,0.00 %
agar3s,2017.0,1,0.00 %
"agency principle,purple pwny studios",2017.0,1,0.00 %
ageod,2011.0,4,0.00 %
ageod,2012.0,2,0.00 %
ageod,2013.0,3,0.00 %
ageod,2014.0,4,0.00 %
ageod,2015.0,4,0.00 %
"ageod,hq",2015.0,1,0.00 %
aggressive combustion,2017.0,1,0.00 %
aggroblakh,2016.0,1,0.00 %
aggroblakh,2017.0,1,0.00 %
agharta studio,2013.0,1,0.00 %
aghayeva and ko s.r.o.,2017.0,1,0.00 %
agrostemma,2016.0,1,0.00 %
airwave games,2017.0,1,0.00 %
airborne games,2017.0,1,0.00 %
airship syndicate,2017.0,2,0.00 %
airtight games,2010.0,1,0.00 %
airtight games,2012.0,4,0.00 %
airtight games,2014.0,1,0.00 %
airwolt,2016.0,1,0.00 %
aist,2016.0,2,0.00 %
aivaras ivoškus,2016.0,1,0.00 %
aivaras klimas,2016.0,1,0.00 %
akakiy petrushkin,2015.0,1,0.00 %
akakiy petrushkin,2016.0,1,0.00 %
akella,2014.0,1,0.00 %
"akella,.dat",2010.0,1,0.00 %
"akella,.dat",2011.0,1,0.00 %
akimbo creations,2017.0,1,0.00 %
akonta band,2017.0,1,0.00 %
akumu games,2016.0,1,0.00 %
akumu games,2017.0,1,0.00 %
alpixel games,2015.0,1,0.00 %
"alpixel games,luis diaz,gustavo santos,albert fernandez,tice thomason",2015.0,1,100.00 %
alabeo,2015.0,5,0.00 %
alabeo,2016.0,3,0.00 %
alabeo,2017.0,1,0.00 %
alain perrin,2017.0,1,0.00 %
alakhaine specialist consulting limited,2017.0,2,0.00 %
alan edwardes,2014.0,1,100.00 %
alan edwardes,2017.0,1,100.00 %
"alan hazelden,benjamin davis",2015.0,1,0.00 %
"alan hazelden,harry lee",2014.0,1,0.00 %
alan zucconi,2015.0,2,0.00 %
"alasdair beckett-king,application systems heidelberg",2016.0,1,0.00 %
alastair john jack,2014.0,1,0.00 %
alawar,2007.0,1,0.00 %
alawar,2008.0,1,0.00 %
alawar,2009.0,2,0.00 %
alawar,2010.0,1,0.00 %
alawar,2012.0,1,0.00 %
alawar,2013.0,2,0.00 %
alawar,2014.0,1,0.00 %
alawar,2015.0,3,0.00 %
alawar,2016.0,1,0.00 %
alawar dreamdale,2013.0,2,0.00 %
alawar entertainment,2011.0,4,0.00 %
alawar entertainment,2013.0,4,0.00 %
alawar entertainment,2014.0,2,0.00 %
alawar entertainment,2015.0,3,0.00 %
alawar entertainment,2016.0,2,0.00 %
alawar entertainment,2017.0,1,0.00 %
"alawar entertainment,amegami",2013.0,1,0.00 %
"alawar entertainment,toyman interactive",2013.0,1,0.00 %
alawar five-bn,2013.0,1,0.00 %
alawar friday's games,2014.0,1,0.00 %
alawar stargaze,2011.0,1,0.00 %
alawar stargaze,2013.0,1,0.00 %
alawar stargaze,2016.0,1,0.00 %
"alawar stargaze,alawar entertainment",2015.0,2,0.00 %
"alawar,mirball games",2013.0,1,0.00 %
"alawar,whalebox studio",2014.0,1,0.00 %
albatros softworks,2017.0,8,37.50 %
albatross wirehead,2017.0,1,0.00 %
alberto santiago,2017.0,1,0.00 %
albin bernhardsson,2017.0,1,0.00 %
alchemist studio,2016.0,1,0.00 %
alcoholenthusiast,2017.0,1,0.00 %
alda games,2015.0,1,0.00 %
alder games,2012.0,1,0.00 %
alder games,2013.0,1,0.00 %
alder games,2017.0,2,0.00 %
aldorlea games,2010.0,1,0.00 %
aldorlea games,2014.0,7,0.00 %
aldorlea games,2015.0,20,0.00 %
aldorlea games,2016.0,4,0.00 %
aldorlea games,2017.0,4,0.00 %
"alec smith,dane winn",2016.0,1,0.00 %
aleksandar dakic,2017.0,1,0.00 %
aleksandar kuzmanovic games,2017.0,1,0.00 %
aleksander ciesielski,2015.0,1,0.00 %
aleksandr golovkin,2017.0,1,0.00 %
aleksandr kotukhov,2017.0,1,0.00 %
"aleksandr soldatov,leonid kozhushko",2017.0,2,50.00 %
alekseev,2016.0,1,0.00 %
alekseev,2017.0,1,0.00 %
aleksey abramenko,2012.0,1,0.00 %
alessandro guzzo,2017.0,1,0.00 %
alex hall,2017.0,1,0.00 %
alex hanson-white,2016.0,1,0.00 %
alex jedraszczak,2014.0,1,0.00 %
alex piola,2015.0,1,0.00 %
alex williams,2016.0,1,100.00 %
alex woodcock,2015.0,1,0.00 %
alex zhang,2015.0,1,0.00 %
alex's daddy,2017.0,1,0.00 %
"alexander ahura,alexey davydov,sergey dvoynikov,timofey shargorodskiy",2016.0,1,0.00 %
alexander benedict,2017.0,1,0.00 %
alexander bruce,2013.0,1,0.00 %
alexander byzov,2015.0,2,0.00 %
alexander byzov,2016.0,3,0.00 %
alexander byzov,2017.0,5,0.00 %
alexander goodwin,2017.0,1,0.00 %
alexander kov,2016.0,1,0.00 %
alexander mirdzveli,2015.0,1,0.00 %
alexander shvab,2017.0,2,0.00 %
alexander spillman,2017.0,1,0.00 %
alexandr kataev,2016.0,1,0.00 %
"alexandr lavelin,evgeny shcherbakov",2016.0,1,0.00 %
"alexandru c.,vector 7",2017.0,1,0.00 %
"alexey bokulev,sergei klimov,charlie oscar lima tango interactive entertainment",2016.0,4,0.00 %
"alexey bokulev,sergei klimov,charlie oscar lima tango interactive entertainment",2017.0,2,0.00 %
"alexey bokulev,snowbird games",2009.0,1,0.00 %
"alexey davydov,sergey dvoynikov,timofey shargorodskiy",2015.0,2,0.00 %
"alexey davydov,sergey dvoynikov,timofey shargorodskiy",2016.0,1,0.00 %
alexey glinskiy,2016.0,1,0.00 %
alexey glinskiy,2017.0,5,0.00 %
alexey kargin,2017.0,1,0.00 %
"alexey khazov,cristian ionescu,lars van dorenvanck,brandon van doorn,joran vergoessen,admir leka",2016.0,1,0.00 %
alexey roenko,2016.0,1,0.00 %
alexey volonsky,2017.0,3,0.00 %
alfred lam,2012.0,1,0.00 %
aliasworlds entertainment,2009.0,1,0.00 %
"aliasworlds,amegami,rionix,melesta",2016.0,1,0.00 %
alice &amp; smith,2015.0,4,0.00 %
alice &amp; smith,2016.0,3,0.00 %
alice &amp; smith,2017.0,2,50.00 %
alien jellyfish,2017.0,1,0.00 %
alien mind,2017.0,1,0.00 %
alien octopus studio,2013.0,1,0.00 %
alien pixel studios,2016.0,2,50.00 %
alien sync interactive,2015.0,1,0.00 %
alientrap,2011.0,1,0.00 %
alientrap,2015.0,4,25.00 %
alientrap,2017.0,3,0.00 %
alikart studio,2015.0,1,0.00 %
alina digital,2016.0,2,50.00 %
alina digital,2017.0,2,0.00 %
alister software,2015.0,1,0.00 %
alister software,2016.0,1,0.00 %
alister software,2017.0,1,0.00 %
alkemi,2017.0,1,0.00 %
all aboard,2009.0,2,0.00 %
all aboard,2010.0,1,0.00 %
all aboard,2012.0,1,0.00 %
all civilized planets,2015.0,1,0.00 %
all seeing eye games,2015.0,1,0.00 %
all seeing eye games,2016.0,2,0.00 %
all seeing eye games,2017.0,1,0.00 %
all those moments,2017.0,1,0.00 %
"allsol,unknown hero",2017.0,1,0.00 %
allegorithmic,2014.0,2,0.00 %
allegorithmic,2016.0,1,0.00 %
allegorithmic,2017.0,3,0.00 %
"allegorithmic,the foundry",2016.0,1,100.00 %
allen dayan,2016.0,1,0.00 %
allgraf,2013.0,1,0.00 %
allicorn games,2015.0,2,0.00 %
allied games inc.,2016.0,1,0.00 %
allods team,2017.0,9,22.22 %
"allods team,mail.ru group",2009.0,1,0.00 %
allusio,2016.0,1,0.00 %
almighty games,2016.0,1,0.00 %
almighty games,2017.0,1,0.00 %
almost human games,2012.0,1,0.00 %
almost human games,2014.0,1,0.00 %
"alonzu,@alonzubin",2016.0,1,0.00 %
alp güleç,2016.0,1,0.00 %
alpha pack studios,2017.0,1,0.00 %
alpha strike games limited,2017.0,1,0.00 %
alpha wave entertainment,2016.0,1,0.00 %
alpha72 games,2007.0,1,0.00 %
alphanuts,2014.0,1,0.00 %
alpheratz*,2016.0,1,0.00 %
alrauna studios,2015.0,1,0.00 %
altimage games,2015.0,1,0.00 %
altai game studio,2017.0,1,0.00 %
altar games,2001.0,1,0.00 %
altar games,2007.0,2,0.00 %
altar interactive,2003.0,1,0.00 %
alternativaplatform,2017.0,7,28.57 %
alternative dreams,2016.0,1,0.00 %
alternative dreams studios,2016.0,1,0.00 %
alternative software ltd,2014.0,2,0.00 %
alternative software ltd,2015.0,3,0.00 %
alternative software ltd,2016.0,1,0.00 %
alternative software ltd,2017.0,2,0.00 %
altfuture,2016.0,1,0.00 %
alystudio,2017.0,1,0.00 %
alyssium,2017.0,1,0.00 %
